seqNo,txDate,CPI
1,2011-01-31,220.22
2,2011-02-28,221.31
3,2011-03-31,223.47
4,2011-04-30,224.91
5,2011-05-31,225.96
6,2011-06-30,225.72
7,2011-07-31,225.92
8,2011-08-31,226.54
9,2011-09-30,226.89
10,2011-10-31,226.42
11,2011-11-30,226.23
12,2011-12-31,225.67
13,2012-01-31,226.66
14,2012-02-29,227.66
15,2012-03-31,229.39
16,2012-04-30,230.08
17,2012-05-31,229.82
18,2012-06-30,229.48
19,2012-07-31,229.1
20,2012-08-31,230.38
21,2012-09-30,231.41
22,2012-10-31,231.32
23,2012-11-30,230.22
24,2012-12-31,229.6
25,2013-01-31,230.28
26,2013-02-28,232.17
27,2013-03-31,232.77
28,2013-04-30,232.53
29,2013-05-31,232.94
30,2013-06-30,233.5
31,2013-07-31,233.6
32,2013-08-31,233.88
33,2013-09-30,234.15
34,2013-10-31,233.55
35,2013-11-30,233.07
36,2013-12-31,233.05
37,2014-01-31,233.92
38,2014-02-28,234.78
39,2014-03-31,236.29
40,2014-04-30,237.07
41,2014-05-31,237.9
42,2014-06-30,238.34
43,2014-07-31,238.25
44,2014-08-31,237.85
45,2014-09-30,238.03
46,2014-10-31,237.43
47,2014-11-30,236.15
48,2014-12-31,234.81
